"listing_id","avg_sentiment","review_count","complaint_counts","top_complaint","top_complaint_n","example_snippet","complaint_snippets"
"715632759695471272","0.14003541666666666","48","{""comfort"": 1, ""noise"": 1, ""cleanliness"": 1, ""maintenance"": 1}","comfort","1.0","O pillow top que colocaram por cima atrapalha.","{""comfort"": ""O pillow top que colocaram por cima atrapalha."", ""noise"": ""The blinds from the windows were broken and the apartment was very noisy, you could hear all the sounds from inside the building."", ""cleanliness"": ""The apartment was dirty, had smell and many stains everywhere."", ""maintenance"": ""The blinds from the windows were broken and the apartment was very noisy, you could hear all the sounds from inside the building.""}"
"715646882016649252","0.1954541935483871","155","{""cleanliness"": 1, ""maintenance"": 1}","cleanliness","1.0","It was good location, helpful and responsive host but some of the areas was dirty at the house, the bed sheets was smelling.","{""cleanliness"": ""It was good location, helpful and responsive host but some of the areas was dirty at the house, the bed sheets was smelling."", ""maintenance"": ""We just had a lot of trouble with the lock which ended up wasting a bit of time, but aside from that - nothing major.""}"
"715679612921697756","0.2157762711864407","59","{""wifi"": 1}","wifi","1.0","Muy buen lugar excelente wifi para trabajo recomendable, sin duda volvería","{""wifi"": ""Muy buen lugar excelente wifi para trabajo recomendable, sin duda volver\u00eda""}"
"715760872364448470","0.09743032786885246","122","{""wifi"": 2}","wifi","2.0","todo estaba bien lo unico que el apartamento no habia internet","{""wifi"": ""todo estaba bien lo unico que el apartamento no habia internet""}"
"715812715258145661","0.6331","1","","","","",""
"715906135155988610","0.22072515723270442","159","{""wifi"": 1}","wifi","1.0","Wij hadden een internet probleem maar ook  dat was binnen 30 minuten opgelost!","{""wifi"": ""Wij hadden een internet probleem maar ook  dat was binnen 30 minuten opgelost!""}"
"716335757927885492","0.5477222222222222","9","","","","",""
"716533557260598488","0.219725","20","","","","",""
"716544079152937438","0.5311131578947369","190","{""accuracy"": 1}","accuracy","1.0","Séjour À Madrid chez Agnès très agréable , logement propre et joliment décoré conforme aux photos.","{""accuracy"": ""S\u00e9jour \u00c0 Madrid chez Agn\u00e8s tr\u00e8s agr\u00e9able , logement propre et joliment d\u00e9cor\u00e9 conforme aux photos.""}"
"716591394944791337","0.37077954545454544","44","","","","",""
"716639170131670543","0.2842119047619048","210","{""cleanliness"": 1, ""wifi"": 2, ""comfort"": 1, ""accuracy"": 1}","wifi","2.0","We had a fault in the WiFi key mentioned I the host brochure, but he replied very fast and gave us the renewed info.","{""cleanliness"": ""There is often the problem with smell and elevators in old building, that we didn\u2019t found here."", ""wifi"": ""We had a fault in the WiFi key mentioned I the host brochure, but he replied very fast and gave us the renewed info."", ""comfort"": ""There is no air conditioning but it\u2019s an old building with high ceilings and surrounded with other close buildings, so you won\u2019t need it."", ""accuracy"": ""En raison du caract\u00e8re mensonger voir malhonn\u00eate de sa demande, nous recommandons aux futurs voyageurs de prendre des photos en cas de probl\u00e8mes ou de v\u00e9tust\u00e9 des \u00e9quipements pour justifier de leur bonne foi.""}"
"716677547458435461","0.5994","1","","","","",""
"716744407548305537","0.06238571428571429","21","{""cleanliness"": 1, ""comfort"": 1}","cleanliness","1.0","We could see mold coming out of another room’s ventilation system.","{""cleanliness"": ""We could see mold coming out of another room\u2019s ventilation system."", ""comfort"": ""Towels and pillows were bad quality.""}"
"716751716763115403","0.10990000000000001","26","{""accuracy"": 1}","accuracy","1.0","Future guests should approach this listing with serious caution.","{""accuracy"": ""Future guests should approach this listing with serious caution.""}"
"716824563870222463","0.0","1","","","","",""
"717146439320280609","0.4132","107","","","","",""
"717179217025072212","0.4753628571428571","70","","","","",""
"717235292280223074","0.0","5","","","","",""
"717948757548292267","0.27526164383561647","73","","","","",""
